# Server version 0.08 running on web024013.wireless.mcgill.ca:8123
# Game ID: 5
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 02 00:12:55 EDT 2014
# Player 1: Player-0, 'ABPruning', running on localhost
# Player 2: Player-1, 'ABPruning', running on localhost
# Player 3: Player-2, 'ABPruning', running on localhost
# Player 4: Player-3, 'ABPruning', running on localhost
START Player-0 ABPruning
START Player-1 ABPruning
START Player-2 ABPruning
START Player-3 ABPruning
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (14,1) (12,3)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (13,2) (11,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (11,9)
3 null null
0 (2,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (13,1) (11,3)
1 (11,3) (11,5)
1 null null
2 (1,12) (3,12)
2 (3,12) (3,10)
2 null null
3 (15,13) (13,11)
3 (13,11) (11,11)
3 null null
0 (1,3) (3,3)
0 (3,3) (5,5)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,6)
1 null null
2 (2,13) (2,11)
2 (2,11) (4,9)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 null null
0 (2,0) (4,2)
0 null null
1 (13,0) (11,0)
1 (11,0) (13,2)
1 (13,2) (11,2)
1 null null
2 (2,15) (4,15)
2 (4,15) (2,13)
2 (2,13) (2,11)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,11)
3 (10,11) (12,9)
3 (12,9) (10,9)
3 null null
0 (2,1) (4,1)
0 (4,1) (4,3)
0 (4,3) (2,5)
0 (2,5) (4,5)
0 (4,5) (6,5)
0 null null
1 (12,1) (10,3)
1 (10,3) (12,5)
1 (12,5) (10,5)
1 (10,5) (10,7)
1 null null
2 (0,15) (2,15)
2 (2,15) (4,13)
2 null null
3 (14,13) (12,13)
3 (12,13) (10,11)
3 null null
0 (0,0) (2,0)
0 (2,0) (4,0)
0 (4,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (2,14) (4,14)
2 (4,14) (4,12)
2 (4,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (11,12) (9,10)
3 (9,10) (11,8)
3 (11,8) (9,6)
3 null null
0 (3,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (14,3) (12,5)
1 (12,5) (10,5)
1 (10,5) (8,7)
1 null null
2 (3,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (13,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (3,4) (5,4)
0 (5,4) (7,6)
0 (7,6) (9,8)
0 null null
1 (11,5) (9,7)
1 (9,7) (9,9)
1 (9,9) (9,11)
1 null null
2 (3,14) (5,12)
2 null null
3 (12,12) (12,10)
3 (12,10) (10,8)
3 (10,8) (8,8)
3 (8,8) (8,6)
3 null null
0 (3,1) (5,3)
0 null null
1 (13,3) (11,1)
1 (11,1) (11,3)
1 (11,3) (11,5)
1 (11,5) (9,7)
1 (9,7) (11,7)
1 (11,7) (9,5)
1 (9,5) (7,7)
1 null null
2 (0,12) (1,11)
3 (9,6) (7,6)
3 (7,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (1,2)
3 null null
0 (4,2) (6,4)
0 (6,4) (6,6)
0 (6,6) (8,8)
0 (8,8) (10,8)
0 (10,8) (12,10)
0 (12,10) (10,10)
0 (10,10) (12,12)
0 (12,12) (14,14)
0 null null
1 (10,6) (10,8)
1 (10,8) (12,10)
1 (12,10) (10,10)
1 (10,10) (8,12)
1 null null
2 (4,13) (6,11)
2 (6,11) (6,9)
2 null null
3 (11,10) (11,8)
3 (11,8) (9,6)
3 (9,6) (7,6)
3 (7,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (1,4)
3 null null
0 (5,2) (5,4)
0 (5,4) (7,6)
0 (7,6) (9,6)
0 (9,6) (11,8)
0 (11,8) (11,10)
0 (11,10) (13,12)
0 (13,12) (13,14)
0 (13,14) (15,14)
0 null null
1 (15,3) (14,4)
2 (5,10) (7,8)
2 (7,8) (9,6)
2 null null
3 (15,15) (15,13)
3 (15,13) (13,11)
3 null null
0 (4,4) (6,6)
0 (6,6) (8,8)
0 (8,8) (10,8)
0 (10,8) (12,10)
0 (12,10) (10,12)
0 (10,12) (10,10)
0 (10,10) (12,12)
0 null null
1 (12,0) (11,1)
2 (3,10) (5,8)
2 (5,8) (7,10)
2 (7,10) (5,10)
2 (5,10) (7,8)
2 (7,8) (7,6)
2 (7,6) (5,4)
2 (5,4) (5,2)
2 null null
3 (14,12) (12,10)
3 (12,10) (10,8)
3 (10,8) (8,8)
3 (8,8) (6,6)
3 (6,6) (6,4)
3 (6,4) (4,2)
3 null null
0 (4,6) (6,4)
0 (6,4) (6,6)
0 (6,6) (8,8)
0 (8,8) (10,8)
0 (10,8) (12,10)
0 (12,10) (14,12)
0 null null
1 (10,7) (8,9)
1 null null
2 (5,13) (5,11)
2 (5,11) (7,9)
2 (7,9) (9,9)
2 (9,9) (9,7)
2 (9,7) (9,5)
2 null null
3 (9,10) (7,8)
3 (7,8) (7,6)
3 (7,6) (5,4)
3 null null
0 (2,4) (4,6)
0 (4,6) (6,4)
0 (6,4) (4,4)
0 (4,4) (6,6)
0 (6,6) (8,8)
0 (8,8) (10,8)
0 (10,8) (12,10)
0 null null
1 (7,7) (9,7)
1 (9,7) (9,9)
1 (9,9) (7,9)
1 (7,9) (5,11)
1 (5,11) (5,13)
1 null null
2 (5,12) (3,10)
2 (3,10) (5,8)
2 (5,8) (7,10)
2 (7,10) (5,10)
2 (5,10) (7,8)
2 (7,8) (9,10)
2 (9,10) (11,12)
2 (11,12) (13,12)
2 (13,12) (15,12)
2 null null
3 (4,2) (6,4)
3 (6,4) (4,6)
3 (4,6) (2,4)
3 (2,4) (2,2)
3 (2,2) (0,2)
3 null null
0 (9,8) (11,10)
0 (11,10) (13,12)
0 (13,12) (13,14)
0 null null
1 (12,3) (10,5)
1 (10,5) (8,5)
1 null null
2 (3,11) (5,11)
2 (5,11) (7,9)
2 (7,9) (9,9)
2 null null
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (13,13)
