# Server version 0.08 running on web024009.wireless.mcgill.ca:8123
# Game ID: 28
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 29 22:11:35 EDT 2014
# Player 1: Player-0, 'improved', running on localhost
# Player 2: Player-1, 'improved', running on localhost
# Player 3: Player-2, 'improved', running on localhost
# Player 4: Player-3, 'improved', running on localhost
START Player-0 improved
START Player-1 improved
START Player-2 improved
START Player-3 improved
0 (0,1) (2,3)
0 null null
1 (14,3) (15,4)
2 (2,13) (4,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (13,2) (11,0)
1 null null
2 (1,12) (0,11)
3 (13,13) (11,11)
3 null null
0 (2,0) (4,2)
0 null null
1 (12,1) (13,2)
2 (3,14) (4,14)
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (13,2) (14,3)
2 (4,14) (5,15)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (14,3) (13,2)
2 (5,15) (4,14)
3 (13,15) (11,13)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (13,2) (14,3)
2 (4,14) (5,15)
3 (12,14) (10,12)
3 (10,12) (10,10)
3 (10,10) (8,10)
3 null null
0 (3,1) (5,3)
0 null null
1 (14,3) (13,2)
2 (5,15) (4,14)
3 (15,13) (13,11)
3 null null
0 (4,2) (6,4)
0 null null
1 (13,2) (14,3)
2 (4,14) (5,15)
3 (14,12) (12,10)
3 null null
0 (5,3) (7,5)
0 null null
1 (14,3) (13,2)
2 (5,15) (4,14)
3 (10,11) (8,9)
3 null null
0 (6,4) (8,6)
0 null null
1 (13,2) (14,3)
2 (4,14) (5,15)
3 (12,12) (10,10)
3 null null
0 (7,5) (9,7)
0 null null
1 (14,3) (13,2)
2 (5,15) (4,14)
3 (11,11) (9,9)
3 (9,9) (7,9)
3 null null
0 (8,6) (10,8)
0 null null
1 (13,2) (14,3)
2 (4,14) (5,15)
3 (9,10) (7,8)
3 null null
0 (3,5) (5,7)
0 null null
1 (14,3) (13,2)
2 (5,15) (4,14)
3 (8,9) (6,7)
3 (6,7) (4,7)
3 (4,7) (4,5)
3 null null
0 (4,6) (6,8)
0 (6,8) (8,8)
0 null null
1 (13,2) (14,3)
2 (4,14) (5,15)
3 (8,10) (6,8)
3 (6,8) (4,6)
3 (4,6) (4,4)
3 (4,4) (2,4)
3 (2,4) (0,2)
