# Server version 0.08 running on web024065.wireless.mcgill.ca:8123
# Game ID: 29
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 02 19:08:03 EDT 2014
# Player 1: Player-0, 'improved', running on localhost
# Player 2: Player-1, 'LDFS', running on localhost
# Player 3: Player-2, 'LDFS', running on localhost
# Player 4: Player-3, 'improved', running on localhost
START Player-0 improved
START Player-1 LDFS
START Player-2 LDFS
START Player-3 improved
0 (0,1) (2,3)
0 null null
1 (13,2) (12,3)
2 (2,13) (3,12)
3 (14,14) (12,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,3) (13,4)
2 (1,13) (2,12)
3 (13,13) (11,11)
3 null null
0 (1,0) (3,2)
0 null null
1 (15,3) (14,4)
2 (1,12) (2,11)
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (2,1) (4,3)
0 null null
1 (13,1) (12,2)
2 (3,15) (4,14)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (1,1) (3,3)
0 (3,3) (5,3)
0 null null
1 (12,0) (11,1)
2 (0,12) (1,11)
3 (13,15) (11,13)
3 null null
0 (2,2) (4,2)
0 (4,2) (6,4)
0 null null
1 (14,2) (13,3)
2 (3,14) (4,13)
3 (12,14) (10,12)
3 (10,12) (10,10)
3 (10,10) (8,10)
3 null null
0 (3,2) (5,4)
0 (5,4) (7,4)
0 null null
1 (12,1) (11,2)
2 (2,14) (3,13)
3 (15,12) (14,11)
0 (5,3) (7,5)
0 null null
1 (11,2) (10,3)
2 (4,13) (5,12)
3 (15,13) (13,11)
3 null null
0 (0,3) (1,4)
1 (10,3) (9,3)
2 (5,12) (6,12)
3 (14,12) (12,10)
3 (12,10) (10,12)
3 (10,12) (10,10)
3 null null
0 (3,0) (4,1)
1 (15,1) (14,2)
2 (3,12) (4,11)
3 (11,11) (9,9)
3 null null
0 (2,0) (4,2)
0 (4,2) (4,4)
0 null null
1 (14,4) (13,5)
2 (4,11) (5,10)
3 (10,10) (8,8)
3 null null
0 (0,2) (2,4)
0 null null
1 (14,1) (13,2)
2 (5,10) (5,9)
3 (10,11) (8,9)
3 (8,9) (8,7)
3 null null
0 (1,3) (3,5)
0 null null
1 (15,0) (14,1)
2 (5,9) (6,10)
3 (9,9) (7,7)
3 null null
0 (2,4) (4,6)
0 null null
1 (14,1) (13,1)
2 (3,13) (4,12)
3 (8,8) (6,6)
3 null null
0 (6,4) (8,6)
0 (8,6) (8,8)
0 null null
1 (12,2) (11,3)
2 (4,12) (5,11)
3 (12,15) (11,14)
0 (3,5) (5,7)
0 null null
1 (13,1) (12,2)
2 (6,10) (7,9)
3 (13,14) (12,13)
0 (4,6) (6,8)
0 null null
1 (13,5) (12,5)
2 (1,14) (2,13)
3 (14,13) (13,12)
0 (2,3) (4,5)
0 null null
1 (11,3) (10,4)
2 (2,13) (3,12)
3 (15,15) (14,14)
0 (3,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (9,8)
0 null null
1 (9,3) (9,4)
2 (5,11) (5,10)
3 (7,7) (5,5)
3 (5,5) (3,3)
3 null null
0 (0,0) (1,1)
1 (9,4) (8,5)
2 (1,15) (1,14)
3 (3,3) (2,2)
0 (1,1) (3,3)
0 (3,3) (5,5)
0 (5,5) (7,7)
0 (7,7) (9,9)
0 (9,9) (9,11)
0 null null
1 (13,4) (14,4)
2 (2,11) (3,10)
3 (11,13) (10,12)
0 (7,4) (9,6)
0 (9,6) (7,8)
0 (7,8) (7,10)
0 null null
1 (8,5) (8,6)
2 (2,15) (3,15)
3 (13,11) (12,10)
0 (7,5) (9,7)
0 (9,7) (9,9)
0 null null
1 (12,2) (11,3)
2 (5,10) (4,9)
3 (13,12) (11,12)
3 (11,12) (9,12)
3 null null
0 (9,11) (11,13)
0 (11,13) (13,13)
0 null null
1 (13,2) (12,2)
2 (7,9) (7,8)
3 (9,12) (8,11)
0 (7,10) (9,12)
0 (9,12) (11,12)
0 (11,12) (13,14)
0 null null
1 (11,1) (10,2)
2 (4,9) (5,8)
3 (14,14) (12,14)
3 (12,14) (10,14)
3 null null
0 (8,8) (10,10)
0 null null
1 (12,5) (11,5)
2 (3,15) (4,15)
3 (10,14) (9,13)
0 (6,8) (8,8)
0 (8,8) (10,8)
0 null null
1 (11,5) (10,6)
2 (6,12) (7,11)
3 (6,6) (6,5)
0 (9,9) (11,11)
0 null null
1 (11,3) (11,4)
2 (3,12) (4,11)
3 (9,13) (8,12)
0 (9,8) (10,9)
1 (14,2) (14,3)
2 (2,12) (3,11)
3 (8,12) (6,10)
3 null null
0 (3,1) (4,2)
1 (11,4) (10,5)
2 (5,8) (6,8)
3 (14,11) (13,10)
0 (4,2) (5,3)
1 (14,0) (13,1)
2 (3,10) (4,9)
3 (13,10) (11,10)
3 (11,10) (9,8)
3 (9,8) (7,6)
3 (7,6) (5,4)
3 (5,4) (3,2)
3 (3,2) (1,2)
3 null null
0 (5,7) (7,9)
0 (7,9) (9,11)
0 (9,11) (11,13)
0 null null
1 (14,3) (13,4)
2 (4,11) (4,10)
3 (11,14) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,8)
3 (9,8) (7,6)
3 (7,6) (5,4)
3 (5,4) (5,2)
3 (5,2) (3,0)
3 null null
0 (11,13) (12,14)
1 (15,2) (14,1)
2 (4,15) (5,14)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 (10,11) (8,9)
3 (8,9) (6,7)
3 null null
0 (4,3) (5,4)
1 (10,6) (11,6)
