# Server version 0.08 running on 192.168.2.27:8123
# Game ID: 76
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Fri Apr 04 19:22:42 EDT 2014
# Player 1: Player-0, 'LDFS', running on localhost
# Player 2: Player-1, 'LDFS', running on localhost
# Player 3: Player-2, 'LDFS', running on localhost
# Player 4: Player-3, 'LDFS', running on localhost
START Player-0 LDFS
START Player-1 LDFS
START Player-2 LDFS
START Player-3 LDFS
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,3) (12,3)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,4)
1 (13,4) (11,4)
1 null null
2 (1,12) (3,12)
2 (3,12) (5,10)
2 null null
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (11,9)
3 null null
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,2)
