# Server version 0.08 running on 192.168.2.27:8123
# Game ID: 103
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Apr 06 01:38:15 EDT 2014
# Player 1: Player-0, 'ABPruning', running on localhost
# Player 2: Player-1, 'ABPruning', running on localhost
# Player 3: Player-2, 'ABPruning', running on localhost
# Player 4: Player-3, 'ABPruning', running on localhost
START Player-0 ABPruning
START Player-1 ABPruning
START Player-2 ABPruning
START Player-3 ABPruning
0 (3,1) (3,2)
1 (12,1) (11,2)
2 (2,13) (2,12)
3 (14,14) (12,12)
3 null null
0 (2,0) (4,0)
0 null null
1 (12,0) (11,0)
2 (0,13) (2,11)
2 (2,11) (2,13)
2 null null
3 (12,14) (11,15)
0 (2,1) (3,1)
1 (13,1) (12,0)
2 (0,14) (0,13)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 null null
0 (3,2) (2,1)
1 (11,0) (10,1)
2 (2,12) (0,14)
2 null null
3 (15,12) (15,14)
3 null null
0 (2,1) (4,1)
0 null null
1 (14,0) (13,1)
2 (0,12) (0,11)
3 (11,15) (10,15)
0 (0,0) (2,0)
0 (2,0) (4,2)
0 null null
1 (14,3) (15,4)
2 (3,14) (4,15)
3 (14,15) (14,14)
0 (4,1) (4,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (1,15) (3,13)
2 null null
3 (14,13) (14,15)
3 (14,15) (12,13)
3 (12,13) (10,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (2,1)
0 (2,1) (4,1)
0 null null
1 (12,0) (14,0)
1 (14,0) (12,2)
1 (12,2) (10,2)
1 null null
2 (2,13) (3,14)
3 (12,15) (14,15)
3 (14,15) (14,13)
3 (14,13) (12,13)
3 null null
0 (1,1) (3,3)
0 (3,3) (5,1)
0 null null
1 (13,2) (13,4)
1 null null
2 (1,12) (2,12)
3 (13,15) (12,15)
0 (1,0) (2,0)
1 (15,3) (15,1)
1 null null
2 (4,15) (2,13)
2 (2,13) (2,11)
2 null null
3 (13,13) (11,13)
3 (11,13) (13,11)
3 null null
0 (2,2) (1,1)
1 (14,1) (12,1)
1 (12,1) (10,3)
1 null null
2 (0,14) (1,15)
3 (14,12) (13,12)
0 (0,1) (2,1)
0 (2,1) (0,3)
0 null null
1 (13,4) (13,5)
2 (0,13) (0,12)
3 (13,11) (11,13)
3 (11,13) (11,11)
3 (11,11) (13,13)
3 (13,13) (13,15)
3 (13,15) (11,15)
3 (11,15) (9,15)
3 null null
0 (5,1) (3,3)
0 (3,3) (5,3)
0 null null
1 (10,3) (11,3)
2 (1,14) (2,13)
3 (12,13) (12,14)
0 (3,0) (5,2)
0 (5,2) (3,4)
0 null null
1 (15,0) (14,1)
2 (1,13) (3,11)
2 (3,11) (1,11)
2 null null
3 (15,13) (13,15)
3 (13,15) (13,13)
3 (13,13) (11,11)
3 (11,11) (11,13)
3 null null
0 (3,4) (5,2)
0 (5,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (11,3) (10,4)
2 (3,14) (1,12)
2 (1,12) (3,12)
2 (3,12) (1,14)
2 null null
3 (14,14) (15,13)
0 (4,1) (5,0)
1 (10,2) (12,2)
1 (12,2) (14,0)
1 (14,0) (12,0)
1 null null
2 (1,14) (3,14)
2 (3,14) (1,12)
2 null null
3 (11,13) (13,15)
3 null null
0 (3,1) (3,2)
1 (15,1) (15,0)
2 (0,11) (0,10)
3 (13,14) (14,13)
0 (5,4) (6,4)
1 (15,0) (13,2)
1 (13,2) (13,4)
1 (13,4) (13,6)
1 null null
2 (3,15) (3,14)
3 (11,12) (9,10)
3 null null
0 (4,3) (4,1)
0 (4,1) (2,3)
0 null null
1 (10,1) (12,3)
1 null null
2 (1,15) (0,14)
3 (9,15) (10,14)
0 (2,3) (0,1)
0 (0,1) (2,1)
0 (2,1) (4,3)
0 (4,3) (4,1)
0 null null
1 (13,6) (13,4)
1 null null
2 (0,15) (0,13)
2 (0,13) (0,11)
2 null null
3 (15,14) (15,12)
3 (15,12) (13,14)
3 (13,14) (11,14)
3 null null
0 (1,1) (1,0)
1 (13,1) (15,3)
1 (15,3) (15,5)
1 null null
2 (3,13) (1,15)
2 (1,15) (3,15)
2 (3,15) (1,13)
2 (1,13) (3,11)
2 null null
3 (15,15) (14,14)
0 (4,1) (4,3)
0 null null
1 (13,3) (13,2)
2 (1,12) (3,12)
2 null null
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,2) (0,4)
0 null null
1 (13,5) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (15,1)
1 null null
2 (2,14) (3,13)
3 (11,14) (12,13)
0 (3,2) (5,2)
0 null null
1 (15,4) (14,5)
2 (2,13) (1,14)
3 (15,13) (13,15)
3 (13,15) (11,15)
3 (11,15) (13,13)
3 null null
0 (5,2) (6,1)
1 (14,5) (14,4)
2 (2,12) (4,14)
2 (4,14) (2,14)
2 null null
3 (13,12) (15,14)
3 (15,14) (13,14)
3 (13,14) (15,12)
3 null null
0 (0,4) (0,2)
0 (0,2) (2,4)
0 null null
1 (14,1) (14,3)
1 (14,3) (14,5)
1 null null
2 (0,12) (2,10)
2 (2,10) (2,12)
2 (2,12) (4,14)
2 null null
3 (13,13) (11,15)
3 (11,15) (13,15)
3 (13,15) (15,13)
3 (15,13) (15,11)
3 null null
0 (0,3) (0,4)
1 (15,1) (14,1)
2 (0,14) (1,13)
3 (10,11) (9,12)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 null null
1 (15,5) (13,5)
1 (13,5) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 null null
2 (1,13) (0,12)
3 (11,11) (13,13)
3 (13,13) (15,13)
3 (15,13) (13,15)
3 (13,15) (11,13)
3 null null
0 (5,3) (4,4)
1 (14,5) (14,6)
2 (2,15) (4,13)
2 (4,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (4,11)
2 null null
3 (12,13) (13,14)
0 (1,3) (3,5)
0 (3,5) (3,3)
0 (3,3) (5,1)
0 (5,1) (7,1)
0 null null
1 (15,3) (13,1)
1 (13,1) (15,1)
1 (15,1) (13,3)
1 (13,3) (15,5)
1 (15,5) (13,7)
1 null null
2 (2,14) (4,12)
2 (4,12) (2,10)
2 (2,10) (2,12)
2 null null
3 (11,13) (13,15)
3 (13,15) (15,13)
3 (15,13) (13,13)
3 (13,13) (11,11)
3 null null
0 (3,4) (5,4)
0 (5,4) (3,2)
0 (3,2) (5,2)
0 null null
1 (12,0) (11,1)
2 (1,14) (2,14)
3 (15,11) (15,13)
3 (15,13) (13,13)
3 (13,13) (11,15)
3 (11,15) (13,15)
3 null null
0 (7,1) (5,1)
0 (5,1) (5,3)
0 (5,3) (3,3)
0 (3,3) (5,5)
0 (5,5) (7,3)
0 null null
1 (14,4) (12,4)
1 (12,4) (12,2)
1 null null
2 (2,12) (4,10)
2 (4,10) (4,12)
2 (4,12) (2,10)
2 null null
3 (11,11) (13,13)
3 (13,13) (15,13)
3 null null
0 (6,4) (8,2)
0 null null
1 (13,7) (15,5)
1 null null
2 (3,12) (2,13)
3 (13,15) (13,13)
3 (13,13) (11,15)
3 null null
0 (4,3) (3,3)
1 (14,2) (15,1)
2 (3,14) (1,14)
2 (1,14) (3,12)
2 (3,12) (3,10)
2 (3,10) (1,12)
2 (1,12) (1,10)
2 null null
3 (15,13) (15,14)
0 (2,0) (0,0)
0 null null
1 (11,1) (13,3)
1 (13,3) (13,1)
1 (13,1) (11,3)
1 (11,3) (9,5)
1 null null
2 (1,10) (1,12)
2 (1,12) (3,10)
2 (3,10) (3,12)
2 (3,12) (3,14)
2 null null
3 (11,15) (9,15)
3 (9,15) (11,13)
3 (11,13) (13,15)
3 (13,15) (15,13)
3 (15,13) (15,15)
3 (15,15) (13,13)
3 null null
0 (7,3) (9,1)
0 null null
1 (14,6) (13,7)
2 (3,13) (2,12)
3 (13,13) (15,15)
3 (15,15) (15,13)
3 (15,13) (13,15)
3 (13,15) (11,15)
3 (11,15) (9,15)
3 (9,15) (11,13)
3 (11,13) (13,11)
3 null null
0 (3,3) (5,1)
0 (5,1) (7,1)
0 (7,1) (9,3)
0 null null
1 (9,5) (11,3)
1 (11,3) (13,3)
1 (13,3) (13,1)
1 null null
2 (3,14) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,10)
2 (1,10) (1,12)
2 (1,12) (3,10)
2 null null
3 (13,11) (11,13)
3 (11,13) (13,15)
3 (13,15) (13,13)
3 (13,13) (15,13)
3 null null
0 (5,0) (6,0)
1 (14,1) (12,1)
1 (12,1) (10,3)
1 (10,3) (10,5)
1 null null
2 (3,10) (5,12)
2 null null
3 (13,14) (13,15)
0 (9,1) (10,0)
1 (13,1) (14,1)
2 (1,11) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (5,13)
2 (5,13) (5,11)
2 null null
3 (15,13) (13,13)
3 (13,13) (11,15)
3 null null
