# Server version 0.08 running on web024023.wireless.mcgill.ca:8123
# Game ID: 117
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Fri Apr 11 20:18:19 EDT 2014
# Player 1: Player-0, '260457751', running on localhost
# Player 2: Player-1, 'random', running on web024023.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web024023.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web024023.wireless.mcgill.ca
START Player-0 260457751
START Player-1 random
START Player-2 random
START Player-3 random
0 (0,1) (2,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (0,12) (2,12)
2 null null
3 (13,13) (11,15)
3 null null
0 (1,2) (3,4)
0 null null
1 (15,3) (14,4)
2 (2,13) (0,11)
2 null null
3 (13,14) (11,14)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (12,3) (13,4)
2 (0,13) (2,13)
2 (2,13) (2,11)
2 null null
3 (14,12) (13,12)
0 (1,1) (3,3)
0 (3,3) (5,5)
0 null null
1 (14,3) (14,1)
1 (14,1) (12,3)
1 null null
2 (3,14) (2,13)
3 (14,13) (13,13)
0 (2,0) (4,2)
0 null null
1 (13,1) (11,1)
1 null null
2 (2,11) (3,12)
3 (11,14) (12,13)
0 (2,1) (4,1)
0 (4,1) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,5)
0 null null
1 (13,2) (11,0)
1 null null
2 (1,13) (1,11)
2 null null
3 (11,15) (10,15)
0 (3,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (14,4) (13,3)
2 (1,11) (0,10)
3 (12,13) (12,12)
0 (3,1) (5,3)
0 null null
1 (14,2) (14,1)
2 (3,12) (4,13)
3 (12,15) (11,15)
0 (1,3) (3,3)
0 (3,3) (3,5)
0 null null
1 (12,3) (14,3)
1 (14,3) (12,5)
1 null null
2 (1,15) (1,13)
2 null null
3 (12,12) (12,13)
0 (2,2) (2,4)
0 (2,4) (4,6)
0 (4,6) (6,4)
0 (6,4) (6,6)
0 null null
1 (13,4) (12,4)
2 (0,11) (0,9)
2 null null
3 (11,15) (9,15)
3 null null
0 (5,2) (5,4)
0 (5,4) (7,6)
0 null null
1 (15,1) (15,3)
1 null null
2 (1,12) (3,14)
2 null null
3 (13,12) (11,14)
3 null null
0 (0,3) (1,4)
1 (12,4) (12,3)
2 (2,13) (4,15)
2 null null
3 (12,14) (12,15)
0 (1,4) (3,2)
0 (3,2) (5,2)
0 (5,2) (5,4)
0 (5,4) (5,6)
0 null null
1 (14,0) (15,1)
2 (4,15) (5,14)
3 (13,13) (12,12)
0 (2,3) (4,5)
0 (4,5) (6,7)
0 null null
1 (12,3) (13,2)
2 (0,10) (1,9)
3 (12,15) (10,13)
3 null null
0 (5,5) (7,7)
0 null null
1 (13,3) (12,3)
2 (2,15) (4,15)
2 (4,15) (6,13)
2 null null
3 (15,12) (14,13)
0 (4,2) (6,4)
0 null null
1 (12,5) (11,6)
2 (1,9) (0,8)
3 (9,15) (10,14)
0 (6,6) (8,8)
0 null null
1 (12,3) (11,2)
2 (6,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (2,15)
2 (2,15) (0,13)
2 null null
3 (15,13) (15,12)
0 (6,5) (8,7)
0 (8,7) (8,9)
0 null null
1 (11,6) (11,5)
2 (2,12) (3,11)
3 (10,14) (12,14)
3 null null
0 (5,6) (7,8)
0 (7,8) (9,10)
0 null null
1 (13,2) (13,1)
2 (2,14) (3,13)
3 (11,14) (13,14)
3 null null
0 (7,7) (9,9)
0 (9,9) (9,11)
0 null null
1 (11,2) (11,3)
2 (3,14) (2,15)
3 (14,13) (13,12)
0 (5,3) (7,5)
0 (7,5) (7,7)
0 (7,7) (9,9)
0 null null
1 (15,3) (14,4)
2 (1,13) (2,14)
3 (13,12) (13,13)
0 (3,5) (5,3)
0 (5,3) (7,5)
0 (7,5) (7,7)
0 null null
1 (14,4) (13,5)
2 (3,15) (3,14)
3 (13,15) (11,13)
3 (11,13) (13,11)
3 null null
0 (8,8) (10,10)
0 (10,10) (8,10)
0 (8,10) (10,12)
0 (10,12) (10,14)
0 null null
1 (11,0) (10,0)
2 (4,13) (4,12)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 null null
0 (9,10) (9,12)
0 (9,12) (11,14)
0 (11,14) (13,12)
0 null null
1 (11,1) (10,2)
2 (5,14) (6,15)
3 (13,11) (14,10)
0 (7,6) (7,8)
0 (7,8) (9,10)
0 (9,10) (9,12)
0 (9,12) (11,14)
0 null null
1 (11,3) (9,1)
1 null null
2 (2,14) (1,15)
3 (13,13) (11,15)
3 (11,15) (11,13)
3 (11,13) (9,15)
3 null null
0 (13,12) (14,13)
1 (10,2) (11,1)
2 (0,14) (2,14)
2 null null
3 (14,14) (15,13)
0 (11,14) (12,15)
